income,loan_amount,employment_years,age,credit_score,existing_loans,dependents,loan_term_months,interest_rate,late_payments,credit_utilization,savings_balance,checking_balance,has_credit_card,has_mortgage,default
141958,655635,19,36,441,7,0,24,11.56,1,0.34,405494,157909,1,1,1
166867,112668,10,58,645,7,3,48,10.44,7,0.65,353631,45950,1,0,0
151932,799446,18,65,852,4,1,36,14.74,2,0.86,266291,107662,1,0,1
279178,318623,26,60,860,1,4,24,23.23,6,0.7,355937,46846,0,0,0
139879,296340,23,34,532,7,1,60,24.66,0,0.41,379188,121814,0,0,1
130268,163559,5,68,478,1,1,60,21.56,3,0.79,149084,16979,0,1,1
227892,904097,0,46,564,0,2,24,22.14,2,0.64,306456,127814,0,1,1
74886,321697,18,34,493,7,3,36,24.7,0,0.4,466487,80561,1,1,1
157337,735595,9,42,432,5,3,48,19.82,6,0.43,48850,167234,1,0,1
107498,686900,31,63,749,2,0,12,15.41,8,0.54,12572,35751,1,0,1
195203,911013,36,63,429,4,3,48,16.6,2,0.54,489847,36359,0,1,1
211335,81863,35,51,516,4,0,36,13.04,7,0.79,216790,170340,1,0,1
298167,674806,1,66,832,2,3,48,23.17,6,0.8,253063,187977,0,1,1
61090,946896,36,35,742,5,1,60,9.93,5,0.39,422265,76575,1,1,1
84820,217055,13,43,479,3,1,24,16.88,7,0.8,98090,35073,0,1,1
282913,340483,12,42,472,7,2,24,21.73,7,0.14,94986,133434,0,0,1
214027,934425,16,29,713,4,4,12,24.09,8,0.46,145971,18922,1,1,1
272709,423696,26,44,760,0,3,36,13.41,4,0.28,361334,9888,0,1,0
219041,501341,28,51,684,2,0,60,24.7,9,0.11,108616,125998,0,1,1
287455,403775,12,21,647,0,4,36,18.79,4,0.33,164384,54591,0,0,0
123355,811015,24,61,481,2,3,48,23.11,8,0.98,474366,147038,1,1,1
255796,564397,23,58,563,4,3,24,15.56,2,0.28,431153,7304,1,0,1
234176,280604,35,64,775,4,0,48,8.09,9,0.49,358147,136644,1,0,0
204779,811214,22,33,632,2,3,24,16.9,7,0.86,118566,145068,0,0,1
278795,843435,25,62,746,2,0,48,18.86,8,1.0,192163,188236,0,1,1
176730,628737,35,31,683,4,4,60,8.07,9,0.89,252050,99418,1,1,1
169503,344466,5,25,776,6,2,48,22.56,3,0.64,64064,12414,0,0,0
150523,283911,15,26,474,1,4,36,13.07,2,0.12,272347,175052,0,1,0
22747,998218,9,51,355,4,2,24,14.36,1,0.4,289575,120862,1,1,1
143855,998562,38,37,810,4,0,48,24.52,9,0.43,130339,109549,1,1,1
85725,966275,26,52,668,0,0,36,8.61,1,0.76,342932,45536,0,0,1
149981,674118,1,46,363,7,3,24,15.17,8,0.14,353407,103698,0,1,1
104654,620366,9,51,451,5,2,12,22.79,5,0.73,323600,191128,1,0,1
87435,920649,7,47,442,3,0,36,15.56,3,0.16,460886,158122,0,0,1
51551,165585,8,68,644,5,4,36,10.6,1,0.44,60568,121936,1,1,0
293538,234058,12,46,491,6,0,12,5.58,0,0.21,203075,93433,1,1,0
23890,68056,7,39,766,0,3,36,17.79,2,0.72,81457,38749,1,1,1
61606,636402,26,29,338,7,3,60,21.12,4,0.28,499283,173990,0,1,1
276840,186243,20,67,611,4,4,24,23.53,2,0.66,44638,62290,1,0,0
161699,422600,33,28,301,1,3,36,16.74,2,0.29,144540,96710,1,1,1
290936,490281,28,25,501,4,1,36,7.15,5,0.66,5307,9461,0,0,1
259931,598868,29,63,615,3,2,60,20.52,3,0.36,110423,121906,1,0,0
259629,283733,15,41,825,0,4,12,11.87,8,0.8,331300,136355,0,1,1
225041,279128,0,43,363,2,2,60,10.73,2,0.55,290849,35976,0,0,1
194073,620038,28,39,793,4,4,36,24.91,4,0.51,353753,132189,1,1,1
227624,807879,29,69,602,3,3,48,10.5,3,0.34,154152,122997,0,1,0
88148,917400,21,30,301,5,1,12,14.79,3,0.82,434367,18643,0,1,1
272801,483968,14,62,782,6,1,48,14.53,4,0.11,420525,199757,1,1,0
144243,24560,19,55,348,0,0,48,23.11,4,0.84,357506,3592,1,1,1
271995,995647,37,43,600,4,0,48,21.38,4,0.96,111675,178935,1,0,1
174555,508640,22,58,414,4,2,12,18.95,5,0.77,238196,8595,0,1,1
68555,786931,30,47,469,0,0,24,23.51,6,0.37,336323,151880,1,0,1
276508,631397,16,56,554,1,4,60,13.56,6,0.16,216752,53014,1,0,1
299303,477751,34,50,343,3,2,36,9.76,9,0.38,396585,102471,1,1,1
126530,9323,1,56,619,7,4,24,5.88,9,0.47,360965,96708,0,1,1
100077,616005,30,48,873,5,3,48,9.29,6,0.56,32402,183079,0,1,1
220551,795455,25,25,753,1,0,12,8.51,9,0.96,103849,43092,0,0,1
228261,546066,30,27,504,1,4,24,18.57,5,0.88,159705,110177,1,1,1
260181,784476,7,37,427,1,1,24,10.39,6,0.4,403629,2772,1,0,1
191829,922395,15,32,652,1,3,48,12.15,7,0.67,237222,15537,1,1,1
291836,179812,11,27,478,2,0,24,7.29,3,0.26,198674,190700,0,0,0
222283,203467,18,68,611,3,3,48,22.59,2,0.23,202340,162470,1,0,0
216769,707113,12,65,782,6,2,36,15.88,8,0.82,441376,127960,0,1,1
57065,142513,0,39,465,1,1,48,7.52,6,0.79,242607,153815,0,1,1
243165,878896,12,63,895,2,4,60,8.67,3,0.69,53143,40361,0,0,0
119299,808836,3,56,317,5,0,48,16.66,7,0.58,405577,184339,0,1,1
31534,978560,30,38,757,7,4,24,13.32,9,0.99,208254,133118,1,0,1
60397,642629,7,43,861,7,3,24,15.5,5,0.19,132974,146174,0,0,1
277750,876824,26,32,535,7,3,60,24.24,5,0.69,201256,41122,0,1,1
283160,12747,7,66,359,3,2,24,20.94,5,0.12,345723,7342,0,0,1
75591,951728,23,36,621,4,1,12,10.55,9,0.49,431727,17384,0,0,1
240884,928021,21,22,708,1,4,36,23.85,4,0.82,440196,45512,0,0,1
43247,673931,39,60,876,7,3,60,5.33,2,0.73,216416,70415,0,1,1
44300,101381,28,43,804,6,4,48,12.83,6,0.75,427689,35093,1,0,1
102798,371817,8,54,477,5,4,12,21.34,8,0.86,499379,31369,1,1,1
29268,310873,16,68,390,5,1,48,23.62,2,0.11,465381,98043,0,0,1
294329,971988,0,21,882,0,3,12,13.58,6,0.82,159167,31937,1,0,1
214776,320721,31,29,525,3,0,60,10.24,4,0.11,118154,25555,1,1,1
237851,540437,19,32,656,0,4,36,13.01,7,1.0,440593,128575,1,1,1
256584,424080,0,51,486,6,1,12,19.59,9,0.76,30466,174491,0,1,1
58044,801842,24,67,399,3,2,36,24.61,5,1.0,289281,110568,0,0,1
68984,700187,26,30,672,3,3,12,21.19,1,0.57,176606,179935,0,1,0
284712,293768,22,50,590,0,3,48,11.71,5,0.97,202227,95373,1,0,1
140151,972531,17,49,401,6,2,36,10.77,7,0.48,446767,189708,0,1,1
153767,343780,30,29,501,3,4,24,8.25,3,0.74,318965,17961,0,1,1
144375,551512,27,34,571,5,2,24,22.27,6,0.34,194736,173688,0,1,1
199262,334968,20,57,383,4,2,48,22.31,3,0.82,255246,17884,0,1,1
156330,91599,11,41,356,7,4,12,9.66,9,0.43,449446,2617,0,1,1
184231,410264,36,64,608,1,0,24,11.69,6,0.75,253625,196795,1,1,1
33986,148316,23,57,693,3,4,60,22.54,2,0.95,435304,150527,1,0,1
81858,943584,38,28,756,2,0,12,24.78,0,0.89,170287,138388,0,0,1
149312,84891,32,67,602,3,2,48,9.38,5,0.58,477903,50704,1,1,0
32666,952514,16,31,408,7,0,36,24.72,4,0.61,42898,19284,1,1,1
154633,552288,32,28,791,2,2,48,6.67,5,0.83,66243,56483,0,0,1
124488,93020,15,53,888,6,1,36,5.86,8,0.61,86603,124123,1,1,0
203323,244756,26,58,729,3,1,24,8.65,6,0.43,193513,21434,1,1,0
290536,250624,27,59,400,3,1,48,13.4,5,0.88,180617,62842,0,1,1
50535,327892,35,29,545,4,1,36,13.73,4,0.55,188214,74561,1,1,1
97373,992822,6,24,688,1,3,24,21.81,3,0.72,283086,48211,1,1,1
143684,625593,33,58,685,4,4,48,11.22,6,0.81,32157,82722,1,0,1
293109,518629,0,35,476,4,2,48,9.83,2,0.4,21197,105930,0,0,1
44538,944468,3,41,711,1,1,24,11.14,0,0.77,388233,194929,1,0,1
221664,517390,25,59,360,5,4,60,12.13,9,0.41,272070,11139,1,0,1
159182,939966,19,31,894,1,4,36,14.3,1,0.45,156261,117536,0,1,0
178338,978874,12,39,687,5,1,36,15.86,3,0.33,466815,185208,1,0,0
204064,222577,34,60,356,4,0,48,22.97,5,0.18,29933,118986,0,1,1
234020,678099,9,30,389,1,1,36,13.05,6,0.25,115576,59948,0,0,1
